valorTotal;ide_dhEmi_$date;ide_natOp;infAdic_infCpl;total_icmsTot_vDesc;total_icmsTot_vFrete;total_icmsTot_vOutro;total_icmsTot_vProd;total_icmsTot_vSeg;total_icmsTot_vTotTrib;total_icmsTot_vbc;total_icmsTot_vbcst;total_icmsTot_vcofins;total_icmsTot_vicms;total_icmsTot_vicmsDeson;total_icmsTot_vii;total_icmsTot_vipi;total_icmsTot_vnf;total_icmsTot_vpis;total_icmsTot_vst;nItem;prod_indTot;prod_qCom;prod_uCom;prod_vProd;prod_vUnCom;prod_xProd
24.9;2016-01-05T12:01:54.000Z;VENDA;Mesa 2;0.0;0.0;0.0;24.9;0.0;2.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.9;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
24.9;2016-01-05T12:01:54.000Z;VENDA;Mesa 2;0.0;0.0;0.0;24.9;0.0;2.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.9;0.0;0.0;2;1;0.312;KG;21.4;68.6;BUFFET
92.53;2016-01-05T12:03:52.000Z;VENDA;Mesa 1;0.0;0.0;0.0;92.55;0.0;7.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.55;0.0;0.0;1;1;1.218;KG;83.55;68.6;BUFFET
92.53;2016-01-05T12:03:52.000Z;VENDA;Mesa 1;0.0;0.0;0.0;92.55;0.0;7.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.55;0.0;0.0;2;1;2.0;UN;9.0;4.5;REFRIGERANTE
57.86;2016-01-05T12:16:40.000Z;VENDA;Mesa 5;0.0;0.0;0.0;57.87;0.0;2.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.87;0.0;0.0;1;1;1.0;UN;4.5;4.5;SUCO
57.86;2016-01-05T12:16:40.000Z;VENDA;Mesa 5;0.0;0.0;0.0;57.87;0.0;2.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.87;0.0;0.0;2;1;0.778;KG;53.37;68.6;BUFFET
34.97;2016-01-05T12:17:50.000Z;VENDA;Mesa 3;0.0;0.0;0.0;34.98;0.0;1.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.98;0.0;0.0;1;1;0.51;KG;34.98;68.6;BUFFET
46.23;2016-01-05T12:18:35.000Z;VENDA;Mesa 4;0.0;0.0;0.0;46.23;0.0;1.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.23;0.0;0.0;1;1;0.674;KG;46.23;68.6;BUFFET
32.76;2016-01-05T12:20:00.000Z;VENDA;Mesa 6;0.0;0.0;0.0;32.76;0.0;3.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.76;0.0;0.0;1;1;0.412;KG;28.26;68.6;BUFFET
32.76;2016-01-05T12:20:00.000Z;VENDA;Mesa 6;0.0;0.0;0.0;32.76;0.0;3.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.76;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
57.11;2016-01-05T12:22:16.000Z;VENDA;Mesa 7;0.0;0.0;0.0;57.11;0.0;5.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.11;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
57.11;2016-01-05T12:22:16.000Z;VENDA;Mesa 7;0.0;0.0;0.0;57.11;0.0;5.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.11;0.0;0.0;2;1;0.716;KG;49.11;68.6;BUFFET
57.11;2016-01-05T12:22:16.000Z;VENDA;Mesa 7;0.0;0.0;0.0;57.11;0.0;5.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.11;0.0;0.0;3;1;1.0;UN;4.5;4.5;CERVEJA
36.19;2016-01-05T12:22:57.000Z;VENDA;Mesa 9;0.0;0.0;0.0;36.19;0.0;3.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.19;0.0;0.0;1;1;0.462;KG;31.69;68.6;BUFFET
36.19;2016-01-05T12:22:57.000Z;VENDA;Mesa 9;0.0;0.0;0.0;36.19;0.0;3.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.19;0.0;0.0;2;1;1.0;UN;4.5;4.5;CERVEJA
32.37;2016-01-05T12:23:25.000Z;VENDA;Mesa 10;0.0;0.0;0.0;32.37;0.0;1.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.37;0.0;0.0;1;1;0.472;KG;32.37;68.6;BUFFET
119.47;2016-01-05T12:30:26.000Z;VENDA;Mesa 11;0.0;0.0;0.0;119.48;0.0;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.65;0.0;0.0;1;1;3.0;UN;3.0;1.0;CHA
119.47;2016-01-05T12:30:26.000Z;VENDA;Mesa 11;0.0;0.0;0.0;119.48;0.0;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.65;0.0;0.0;2;1;1.7;KG;116.48;68.6;BUFFET
