valorTotal;ide_dhEmi_date;weekNumber
24.9;2016-01-05T12:01:54.000Z;1
92.53;2016-01-05T12:03:52.000Z;1
57.86;2016-01-05T12:16:40.000Z;1
34.97;2016-01-05T12:17:50.000Z;1
46.23;2016-01-05T12:18:35.000Z;1
32.76;2016-01-05T12:20:00.000Z;1
57.11;2016-01-05T12:22:16.000Z;1
36.19;2016-01-05T12:22:57.000Z;1
32.37;2016-01-05T12:23:25.000Z;1
119.47;2016-01-05T12:30:26.000Z;1
37.04;2016-01-05T12:33:30.000Z;1
32.41;2016-01-05T12:34:09.000Z;1
34.17;2016-01-05T12:35:11.000Z;1
36.46;2016-01-05T12:35:45.000Z;1
27.13;2016-01-05T12:38:39.000Z;1
26.65;2016-01-05T12:40:43.000Z;1
30.59;2016-01-05T12:43:22.000Z;1
33.99;2016-01-05T12:43:58.000Z;1
21.71;2016-01-05T12:45:28.000Z;1
32.35;2016-01-05T12:46:02.000Z;1
23.77;2016-01-05T12:46:49.000Z;1
23.46;2016-01-05T12:47:35.000Z;1
62.36;2016-01-05T12:48:19.000Z;1
29.97;2016-01-05T12:49:12.000Z;1
47.3;2016-01-05T12:52:50.000Z;1
39.13;2016-01-05T12:55:15.000Z;1
34.27;2016-01-05T12:56:10.000Z;1
22.22;2016-01-05T12:57:05.000Z;1
39.17;2016-01-05T13:00:18.000Z;1
27.16;2016-01-05T13:06:13.000Z;1
45.01;2016-01-05T13:06:38.000Z;1
44.83;2016-01-05T13:07:07.000Z;1
62.08;2016-01-05T13:08:13.000Z;1
22.5;2016-01-05T13:10:26.000Z;1
14.26;2016-01-05T13:11:24.000Z;1
27.98;2016-01-05T13:12:13.000Z;1
25.38;2016-01-05T13:12:51.000Z;1
16.46;2016-01-05T13:13:11.000Z;1
27.13;2016-01-05T13:13:19.000Z;1
32.1;2016-01-05T13:13:28.000Z;1
94.94;2016-01-05T13:14:24.000Z;1
35.04;2016-01-05T13:15:06.000Z;1
20.58;2016-01-05T13:15:54.000Z;1
34.54;2016-01-05T13:16:04.000Z;1
67.53;2016-01-05T13:16:40.000Z;1
72.13;2016-01-05T13:16:51.000Z;1
32.51;2016-01-05T13:17:02.000Z;1
30.87;2016-01-05T13:17:13.000Z;1
28.88;2016-01-05T13:17:29.000Z;1
28.09;2016-01-05T13:24:31.000Z;1
21.37;2016-01-05T13:25:08.000Z;1
24.39;2016-01-05T13:26:17.000Z;1
23.15;2016-01-05T13:27:34.000Z;1
34.4;2016-01-05T13:28:01.000Z;1
37.29;2016-01-05T13:28:38.000Z;1
64.11;2016-01-05T13:32:21.000Z;1
20.71;2016-01-05T13:33:44.000Z;1
31.32;2016-01-05T13:34:39.000Z;1
46.0;2016-01-05T13:35:19.000Z;1
27.54;2016-01-05T13:35:46.000Z;1
37.36;2016-01-05T13:36:28.000Z;1
56.6;2016-01-05T13:37:14.000Z;1
53.29;2016-01-05T13:42:33.000Z;1
55.7;2016-01-05T13:46:40.000Z;1
89.69;2016-01-05T13:56:23.000Z;1
73.49;2016-01-05T14:01:27.000Z;1
17.12;2016-01-05T14:05:05.000Z;1
40.57;2016-01-05T14:08:43.000Z;1
36.04;2016-01-05T14:08:56.000Z;1
69.21;2016-01-05T14:09:04.000Z;1
105.63;2016-01-05T18:59:11.000Z;1
51.68;2016-01-05T19:13:33.000Z;1
37.14;2016-01-05T19:25:55.000Z;1
24.83;2016-01-05T19:49:34.000Z;1
137.28;2016-01-05T19:53:29.000Z;1
44.92;2016-01-05T19:58:24.000Z;1
116.68;2016-01-05T20:06:31.000Z;1
13.44;2016-01-05T20:16:12.000Z;1
24.42;2016-01-05T20:22:57.000Z;1
51.41;2016-01-05T20:36:46.000Z;1
56.07;2016-01-05T20:38:57.000Z;1
43.79;2016-01-05T20:41:29.000Z;1
50.18;2016-01-05T20:45:51.000Z;1
63.21;2016-01-05T20:54:28.000Z;1
13.17;2016-01-05T21:03:07.000Z;1
19.61;2016-01-05T21:03:41.000Z;1
30.97;2016-01-05T21:04:25.000Z;1
106.74;2016-01-05T21:07:13.000Z;1
40.38;2016-01-05T21:08:49.000Z;1
80.06;2016-01-05T21:08:59.000Z;1
22.36;2016-01-05T21:11:09.000Z;1
39.51;2016-01-05T21:12:25.000Z;1
99.63;2016-01-05T21:20:09.000Z;1
280.21;2016-01-05T21:28:02.000Z;1
62.25;2016-01-05T21:29:32.000Z;1
26.72;2016-01-05T21:29:41.000Z;1
59.51;2016-01-05T21:35:03.000Z;1
27.96;2016-01-05T21:36:02.000Z;1
34.4;2016-01-05T21:36:11.000Z;1
30.04;2016-01-05T21:36:20.000Z;1
71.44;2016-01-05T21:40:59.000Z;1
142.99;2016-01-05T21:41:09.000Z;1
112.35;2016-01-05T21:51:04.000Z;1
29.86;2016-01-05T21:51:46.000Z;1
61.49;2016-01-05T21:52:48.000Z;1
95.54;2016-01-05T21:57:54.000Z;1
69.35;2016-01-05T22:03:13.000Z;1
116.26;2016-01-05T22:06:09.000Z;1
43.09;2016-01-05T22:07:21.000Z;1
104.57;2016-01-05T22:08:12.000Z;1
115.23;2016-01-05T22:08:28.000Z;1
39.48;2016-01-05T22:08:38.000Z;1
51.41;2016-01-05T22:08:52.000Z;1
50.97;2016-01-05T22:11:51.000Z;1
35.67;2016-01-05T22:12:45.000Z;1
44.0;2016-01-05T22:13:35.000Z;1
187.07;2016-01-05T22:14:48.000Z;1
32.06;2016-01-05T22:15:31.000Z;1
212.91;2016-01-05T22:17:38.000Z;1
232.38;2016-01-05T22:18:55.000Z;1
65.64;2016-01-05T22:21:46.000Z;1
22.15;2016-01-05T22:24:07.000Z;1
104.2;2016-01-05T22:26:13.000Z;1
91.28;2016-01-05T22:27:58.000Z;1
32.62;2016-01-05T22:40:12.000Z;1
45.24;2016-01-05T22:40:38.000Z;1
80.42;2016-01-06T12:09:30.000Z;1
31.62;2016-01-06T12:12:36.000Z;1
29.84;2016-01-06T12:12:42.000Z;1
31.9;2016-01-06T12:12:49.000Z;1
13.98;2016-01-06T12:14:02.000Z;1
29.26;2016-01-06T12:21:07.000Z;1
22.54;2016-01-06T12:30:06.000Z;1
26.2;2016-01-06T12:31:20.000Z;1
20.3;2016-01-06T12:31:41.000Z;1
74.11;2016-01-06T12:35:28.000Z;1
38.19;2016-01-06T12:36:33.000Z;1
78.73;2016-01-06T12:39:50.000Z;1
38.74;2016-01-06T12:40:00.000Z;1
84.92;2016-01-06T12:40:07.000Z;1
34.09;2016-01-06T12:40:15.000Z;1
34.78;2016-01-06T12:40:23.000Z;1
26.14;2016-01-06T12:40:30.000Z;1
49.08;2016-01-06T12:44:40.000Z;1
20.03;2016-01-06T12:45:21.000Z;1
39.29;2016-01-06T12:45:58.000Z;1
40.95;2016-01-06T12:57:46.000Z;1
35.53;2016-01-06T12:57:54.000Z;1
30.04;2016-01-06T12:58:13.000Z;1
35.58;2016-01-06T12:58:22.000Z;1
35.17;2016-01-06T12:58:33.000Z;1
40.11;2016-01-06T12:58:50.000Z;1
60.42;2016-01-06T12:59:04.000Z;1
28.81;2016-01-06T12:59:19.000Z;1
47.87;2016-01-06T12:59:28.000Z;1
54.24;2016-01-06T12:59:36.000Z;1
52.87;2016-01-06T12:59:51.000Z;1
46.55;2016-01-06T13:01:59.000Z;1
72.22;2016-01-06T13:03:40.000Z;1
45.96;2016-01-06T13:04:32.000Z;1
52.32;2016-01-06T13:05:37.000Z;1
44.09;2016-01-06T13:06:06.000Z;1
50.81;2016-01-06T13:06:46.000Z;1
107.32;2016-01-06T13:07:25.000Z;1
67.22;2016-01-06T13:12:11.000Z;1
102.75;2016-01-06T13:13:50.000Z;1
44.5;2016-01-06T13:14:40.000Z;1
28.78;2016-01-06T13:19:36.000Z;1
56.99;2016-01-06T13:20:52.000Z;1
122.02;2016-01-06T13:22:30.000Z;1
54.24;2016-01-06T13:23:15.000Z;1
34.98;2016-01-06T13:23:43.000Z;1
18.24;2016-01-06T13:23:51.000Z;1
46.92;2016-01-06T13:25:55.000Z;1
37.76;2016-01-06T13:26:06.000Z;1
24.87;2016-01-06T13:26:24.000Z;1
21.67;2016-01-06T13:26:32.000Z;1
116.03;2016-01-06T13:29:55.000Z;1
35.04;2016-01-06T13:31:40.000Z;1
119.95;2016-01-06T13:32:33.000Z;1
99.12;2016-01-06T13:35:50.000Z;1
24.01;2016-01-06T13:39:29.000Z;1
43.13;2016-01-06T13:40:32.000Z;1
48.75;2016-01-06T13:42:30.000Z;1
35.72;2016-01-06T13:42:41.000Z;1
46.42;2016-01-06T13:42:49.000Z;1
108.24;2016-01-06T13:49:18.000Z;1
80.99;2016-01-06T13:50:47.000Z;1
71.72;2016-01-06T13:58:33.000Z;1
95.52;2016-01-06T14:00:58.000Z;1
142.78;2016-01-06T14:01:56.000Z;1
66.74;2016-01-06T14:02:42.000Z;1
40.39;2016-01-06T14:08:49.000Z;1
29.29;2016-01-06T14:54:29.000Z;1
58.92;2016-01-06T19:24:44.000Z;1
39.98;2016-01-06T19:26:19.000Z;1
28.4;2016-01-06T19:59:20.000Z;1
33.72;2016-01-06T20:01:44.000Z;1
90.42;2016-01-06T20:02:52.000Z;1
81.74;2016-01-06T20:08:31.000Z;1
32.42;2016-01-06T20:08:50.000Z;1
43.07;2016-01-06T20:11:55.000Z;1
61.13;2016-01-06T20:29:21.000Z;1
134.33;2016-01-06T20:35:40.000Z;1
72.9;2016-01-06T20:36:01.000Z;1
123.97;2016-01-06T20:36:30.000Z;1
133.11;2016-01-06T20:40:21.000Z;1
103.13;2016-01-06T20:52:30.000Z;1
22.63;2016-01-06T20:55:00.000Z;1
34.43;2016-01-06T20:55:12.000Z;1
85.52;2016-01-06T20:56:05.000Z;1
36.39;2016-01-06T21:04:08.000Z;1
54.56;2016-01-06T21:04:17.000Z;1
100.26;2016-01-06T21:14:12.000Z;1
57.0;2016-01-06T21:21:10.000Z;1
75.61;2016-01-06T21:23:06.000Z;1
85.24;2016-01-06T21:25:29.000Z;1
94.51;2016-01-06T21:28:21.000Z;1
349.47;2016-01-06T21:29:52.000Z;1
86.49;2016-01-06T21:35:12.000Z;1
108.28;2016-01-06T21:38:09.000Z;1
61.89;2016-01-06T21:39:01.000Z;1
76.18;2016-01-06T21:40:09.000Z;1
33.93;2016-01-06T21:46:20.000Z;1
216.02;2016-01-06T21:47:26.000Z;1
76.52;2016-01-06T21:48:53.000Z;1
108.77;2016-01-06T21:49:59.000Z;1
56.71;2016-01-06T22:04:04.000Z;1
111.82;2016-01-06T22:23:31.000Z;1
91.99;2016-01-06T22:24:15.000Z;1
153.18;2016-01-06T22:31:51.000Z;1
55.61;2016-01-06T22:33:07.000Z;1
96.62;2016-01-06T22:44:34.000Z;1
98.0;2016-01-06T22:50:20.000Z;1
52.91;2016-01-06T22:51:12.000Z;1
28.58;2016-01-06T22:51:55.000Z;1
35.72;2016-01-06T22:52:37.000Z;1
113.7;2016-01-06T22:55:03.000Z;1
79.15;2016-01-06T23:03:13.000Z;1
60.46;2016-01-06T23:10:34.000Z;1
33.19;2016-01-06T23:11:13.000Z;1
12.75;2016-01-06T23:12:48.000Z;1
121.43;2016-01-06T23:13:37.000Z;1
36.0;2016-01-06T23:13:47.000Z;1
59.06;2016-01-06T23:13:55.000Z;1
24.9;2016-01-07T12:07:43.000Z;1
84.77;2016-01-07T12:14:57.000Z;1
78.31;2016-01-07T12:15:06.000Z;1
